Timestamp,What is your age group?,Gender,Which mode do you prefer to watch movies?,Which one of the following genres do you prefer to watch? (Select your top most favorite),Which of the following do you use most frequently to choose a streaming platform?,On which devices do you primarily watch content?,How often do you watch or consume content from streaming platforms?,Are you satisfied with the recommendations you receive from streaming platforms?,How satisfied are you with the recommendations you receive from streaming platforms?,What prevents you from using Netflix?,How long do you spend each day watching content on streaming services?,"Does high subscription rate of one platform, forces you to switch to another platform?",Kindly give your preference
9/28/2024 17:35:58,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Once a week,Yes,5,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/28/2024 17:44:22,25-34,Male,Theatre Hall,Thriller,Netflix,Laptop/PC,Daily,Yes,5,Lack of Desired Shows/Movies,Less than 1hr,Maybe,4-5 Season Television Series
9/28/2024 17:49:38,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Laptop/PC,Several times a week,Yes,4,N/A,Less than 1hr,Maybe,2hrs movie
9/28/2024 17:47:04,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smartphone,Several times a week,Yes,4,High Subscription Cost,Less than 1hr,Maybe,4-5 Season Television Series
9/28/2024 17:47:18,18-24,Female,Theatre Hall,Romance,Netflix,Laptop/PC,Occasionally,No,2,Limited Content Variety,1-3hrs,Maybe,2hrs movie
9/28/2024 18:02:30,18-24,Male,Theatre Hall,Science Fiction,Netflix,Laptop/PC,Occasionally,Yes,2,High Subscription Cost,Less than 1hr,Maybe,4-5 Season Television Series
9/28/2024 18:13:41,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/28/2024 18:16:29,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Occasionally,No,3,High Subscription Cost,Less than 1hr,Yes,2 hours movie
9/28/2024 18:20:25,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/28/2024 18:24:03,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,YouTube,Laptop/PC,Occasionally,Yes,4,Lack of Desired Shows/Movies,1-3hrs,No,2 hours movie
9/28/2024 19:09:57,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/28/2024 21:18:08,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Laptop/PC,Several times a week,Yes,4,N/A,More than 3hrs,Maybe,4-5 Season Television Series
9/28/2024 22:12:53,25-34,Male,Theatre Hall,Romance,HBO Max,Laptop/PC,Daily,Yes,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/28/2024 22:13:53,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Smartphone,Daily,No,2,Lack of Desired Shows/Movies,1-3hrs,No,4-5 Season Television Series
9/28/2024 23:23:26,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Smartphone,Daily,No,3,Preference for Other Streaming Platforms,Less than 1hr,Yes,4-5 Season Television Series
9/29/2024 0:12:19,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Smartphone,Occasionally,No,3,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/29/2024 0:28:27,18-24,Male,Theatre Hall,Action,Netflix,Laptop/PC,Occasionally,Yes,3,N/A,Less than 1hr,Maybe,2 hours movie
9/29/2024 1:00:33,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Laptop/PC,Occasionally,Yes,4,High Subscription Cost,1-3hrs,No,2 hours movie
9/29/2024 1:35:13,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Laptop/PC,Once a week,No,3,N/A,1-3hrs,Maybe,2 hours movie
9/29/2024 5:51:02,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Other (Please specify),Smartphone,Occasionally,No,2,Limited Content Variety,Less than 1hr,Maybe,2 hours movie
9/29/2024 12:28:34,25-34,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smart TV,Several times a week,Yes,4,N/A,More than 3hrs,Yes,2 hours movie
9/29/2024 13:34:32,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,5,Lack of Desired Shows/Movies,Less than 1hr,No,4-5 Season Television Series
9/29/2024 13:37:04,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Amazon Prime Video,Laptop/PC,Once a week,Yes,4,Limited Content Variety,1-3hrs,Yes,2 hours movie
9/29/2024 14:11:48,18-24,Female,Theatre Hall,Thriller,Netflix,Smart TV,Occasionally,Yes,4,High Subscription Cost,1-3hrs,Maybe,2 hours movie
9/29/2024 14:37:35,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Disney+,Smartphone,Daily,Yes,2,Lack of Desired Shows/Movies,1-3hrs,No,2 hours movie
9/29/2024 14:38:38,18-24,Male,Theatre Hall,Action,Netflix,Laptop/PC,Once a week,Yes,4,Lack of Desired Shows/Movies,More than 3hrs,Yes,4-5 Season Television Series
9/29/2024 14:40:27,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Amazon Prime Video,Smart TV,Daily,Yes,5,Lack of Desired Shows/Movies,More than 3hrs,Yes,4-5 Season Television Series
9/29/2024 14:45:48,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Laptop/PC,Several times a week,Yes,3,Lack of Desired Shows/Movies,1-3hrs,Yes,2 hours movie
9/29/2024 14:46:34,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Laptop/PC,Several times a week,Yes,3,Preference for Other Streaming Platforms,1-3hrs,Maybe,4-5 Season Television Series
9/29/2024 14:47:50,18-24,Male,Theatre Hall,Comedy,YouTube,Laptop/PC,Daily,No,2,Limited Content Variety,1-3hrs,No,2 hours movie
9/29/2024 14:47:53,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smartphone,Once a week,No,4,Preference for Other Streaming Platforms,Less than 1hr,Maybe,2 hours movie
9/29/2024 14:49:30,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Amazon Prime Video,Laptop/PC,Once a week,No,3,Preference for Other Streaming Platforms,1-3hrs,Yes,2 hours movie
9/29/2024 14:51:55,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,YouTube,Smartphone,Daily,No,2,N/A,1-3hrs,No,4-5 Season Television Series
9/29/2024 14:54:42,18-24,Female,Theatre Hall,Romance,YouTube,Laptop/PC,Several times a week,Yes,3,High Subscription Cost,Less than 1hr,Maybe,2 hours movie
9/29/2024 14:55:00,18-24,Male,Theatre Hall,Comedy,Netflix,Smartphone,Several times a week,Yes,4,Limited Content Variety,More than 3hrs,Yes,2 hours movie
9/29/2024 15:01:56,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Smart TV,Once a week,Yes,4,N/A,1-3hrs,No,2 hours movie
9/29/2024 15:13:26,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Daily,Yes,4,Lack of Desired Shows/Movies,1-3hrs,No,2 hours movie
9/29/2024 16:04:08,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Laptop/PC,Occasionally,Yes,3,Lack of Desired Shows/Movies,1-3hrs,Yes,4-5 Season Television Series
9/29/2024 16:11:47,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smart TV,Several times a week,Yes,3,N/A,1-3hrs,Yes,2 hours movie
9/29/2024 16:32:45,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smartphone,Occasionally,No,3,High Subscription Cost,Less than 1hr,Yes,4-5 Season Television Series
9/29/2024 17:16:33,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Amazon Prime Video,Smartphone,Occasionally,Yes,4,Preference for Other Streaming Platforms,Less than 1hr,Yes,2 hours movie
9/29/2024 17:17:47,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Amazon Prime Video,Laptop/PC,Occasionally,Yes,5,High Subscription Cost,Less than 1hr,Yes,4-5 Season Television Series
9/29/2024 17:18:30,18-24,Male,Theatre Hall,Science Fiction,YouTube,Laptop/PC,Daily,Yes,4,High Subscription Cost,More than 3hrs,Yes,2 hours movie
9/29/2024 17:19:42,18-24,Male,Theatre Hall,Science Fiction,Netflix,Smartphone,Once a week,Yes,3,Limited Content Variety,1-3hrs,Maybe,2 hours movie
9/29/2024 17:29:11,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,Netflix,Laptop/PC,Several times a week,Yes,4,N/A,Less than 1hr,No,4-5 Season Television Series
9/29/2024 17:53:48,55+,Prefer not to say,Theatre Hall,Action,Netflix,Laptop/PC,Daily,Yes,5,N/A,More than 3hrs,Maybe,2 hours movie
9/29/2024 18:27:15,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,YouTube,Laptop/PC,Several times a week,Yes,3,N/A,Less than 1hr,Yes,4-5 Season Television Series
9/29/2024 18:38:56,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Tablet,Occasionally,Yes,4,N/A,Less than 1hr,Yes,2 hours movie
9/29/2024 18:59:40,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Disney+,Laptop/PC,Occasionally,No,3,High Subscription Cost,Less than 1hr,Yes,2 hours movie
9/29/2024 19:21:39,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Disney+,Smartphone,Several times a week,Yes,3,Limited Content Variety,Less than 1hr,Yes,4-5 Season Television Series
9/29/2024 19:22:43,18-24,Male,Theatre Hall,Science Fiction,YouTube,Smartphone,Daily,Yes,3,High Subscription Cost,1-3hrs,Maybe,2 hours movie
9/29/2024 19:41:09,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Amazon Prime Video,Laptop/PC,Once a week,No,3,High Subscription Cost,Less than 1hr,Yes,2 hours movie
9/29/2024 19:52:45,18-24,Male,Theatre Hall,Horror,Netflix,Smart TV,Once a week,Yes,4,N/A,Less than 1hr,Yes,2 hours movie
9/29/2024 20:05:52,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Smartphone,Once a week,No,2,N/A,Less than 1hr,Maybe,2 hours movie
9/29/2024 20:12:14,25-34,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Laptop/PC,Occasionally,No,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/29/2024 20:42:26,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Laptop/PC,Occasionally,Yes,4,N/A,Less than 1hr,No,2 hours movie
9/29/2024 21:08:04,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Smartphone,Once a week,Yes,4,N/A,Less than 1hr,No,2 hours movie
9/29/2024 21:32:41,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Amazon Prime Video,Smartphone,Daily,Yes,5,Limited Content Variety,Less than 1hr,Yes,2 hours movie
9/29/2024 21:45:49,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Smartphone,Several times a week,Yes,4,N/A,1-3hrs,Maybe,2 hours movie
9/29/2024 22:11:28,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Laptop/PC,Daily,Yes,4,N/A,1-3hrs,Maybe,2 hours movie
9/29/2024 22:13:39,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Amazon Prime Video,Smartphone,Occasionally,No,3,High Subscription Cost,More than 3hrs,Yes,2 hours movie
9/29/2024 22:40:11,18-24,Male,Theatre Hall,Documentary,Other (Please specify),Laptop/PC,Several times a week,No,1,Limited Content Variety,1-3hrs,Yes,2 hours movie
9/29/2024 22:45:15,18-24,Male,Theatre Hall,Action,YouTube,Tablet,Several times a week,Yes,5,N/A,Less than 1hr,No,2 hours movie
9/29/2024 23:04:06,18-24,Male,Theatre Hall,Drama,Amazon Prime Video,Smart TV,Occasionally,Yes,3,Lack of Desired Shows/Movies,1-3hrs,No,2 hours movie
9/29/2024 23:06:53,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Smart TV,Occasionally,Yes,4,N/A,Less than 1hr,Yes,4-5 Season Television Series
9/30/2024 0:21:20,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Once a week,Yes,4,Lack of Desired Shows/Movies,Less than 1hr,Yes,2 hours movie
9/30/2024 0:58:27,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smart TV,Occasionally,Yes,5,N/A,More than 3hrs,Maybe,4-5 Season Television Series
9/30/2024 1:11:52,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,YouTube,Smartphone,Daily,Yes,3,N/A,Less than 1hr,Maybe,2 hours movie
9/30/2024 5:59:16,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smartphone,Daily,Yes,3,N/A,1-3hrs,No,2 hours movie
9/30/2024 6:25:06,Under 18,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,HBO Max,Tablet,Occasionally,Yes,3,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/30/2024 6:25:42,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Occasionally,Yes,4,N/A,Less than 1hr,Maybe,2 hours movie
9/30/2024 7:49:16,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smartphone,Once a week,Yes,3,High Subscription Cost,Less than 1hr,Maybe,2 hours movie
9/30/2024 10:09:17,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Laptop/PC,Several times a week,No,3,Limited Content Variety,1-3hrs,Yes,2 hours movie
9/30/2024 10:13:06,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smartphone,Daily,Yes,4,Lack of Desired Shows/Movies,Less than 1hr,Yes,4-5 Season Television Series
9/30/2024 10:28:46,25-34,Male,Theatre Hall,Drama,YouTube,Tablet,Daily,No,2,High Subscription Cost,1-3hrs,No,2 hours movie
9/30/2024 10:53:09,18-24,Female,Theatre Hall,Romance,Amazon Prime Video,Smart TV,Daily,No,2,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/30/2024 11:17:58,25-34,Male,Theatre Hall,Thriller,Amazon Prime Video,Smartphone,Once a week,Yes,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/30/2024 11:39:12,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smartphone,Daily,Yes,4,N/A,1-3hrs,No,2 hours movie
9/30/2024 13:51:12,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,Amazon Prime Video,Smartphone,Occasionally,No,3,High Subscription Cost,Less than 1hr,No,4-5 Season Television Series
10/1/2024 0:56:28,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Disney+,Smartphone,Once a week,Yes,2,High Subscription Cost,1-3hrs,Maybe,2 hours movie
10/1/2024 19:49:59,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Drama,Netflix,Smart TV,Daily,Yes,5,N/A,1-3hrs,Maybe,4-5 Season Television Series
10/1/2024 19:53:40,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Amazon Prime Video,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
10/1/2024 20:06:01,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Hulu,Laptop/PC,Several times a week,Yes,4,N/A,1-3hrs,Yes,4-5 Season Television Series
10/1/2024 21:42:33,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Once a week,Yes,5,N/A,1-3hrs,Yes,2 hours movie
10/2/2024 2:36:26,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Tablet,Several times a week,No,3,High Subscription Cost,More than 3hrs,Yes,2 hours movie
10/2/2024 12:52:02,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Amazon Prime Video,Smart TV,Once a week,Yes,3,High Subscription Cost,Less than 1hr,Yes,4-5 Season Television Series
10/2/2024 13:00:46,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Amazon Prime Video,Laptop/PC,Once a week,No,1,High Subscription Cost,Less than 1hr,Yes,4-5 Season Television Series
10/2/2024 13:03:08,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Once a week,Yes,3,High Subscription Cost,1-3hrs,Yes,2 hours movie
10/2/2024 13:12:13,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Disney+,Smart TV,Daily,Yes,3,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
10/2/2024 14:04:39,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smart TV,Daily,Yes,4,Lack of Desired Shows/Movies,1-3hrs,Yes,4-5 Season Television Series
10/2/2024 18:39:37,25-34,Male,Theatre Hall,Action,YouTube,Smart TV,Several times a week,No,2,High Subscription Cost,Less than 1hr,Maybe,2 hours movie
10/2/2024 18:49:41,35-44,Male,Theatre Hall,Thriller,Hotstar,Smartphone,Once a week,Yes,5,High Subscription Cost,Less than 1hr,Yes,2 hours movie
10/2/2024 19:22:27,25-34,Male,Theatre Hall,Action,Amazon Prime Video,Smartphone,Once a week,Yes,4,N/A,1-3hrs,No,2 hours movie
10/2/2024 20:29:45,25-34,Female,Theatre Hall,Romance,Netflix,Smartphone,Several times a week,Yes,2,High Subscription Cost,1-3hrs,Yes,2 hours movie
10/2/2024 20:43:51,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Smartphone,Daily,Yes,5,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
10/2/2024 20:48:31,25-34,Male,Theatre Hall,Science Fiction,Netflix,Laptop/PC,Several times a week,No,2,High Subscription Cost,1-3hrs,Maybe,2 hours movie
10/2/2024 20:56:22,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Daily,Yes,3,Limited Content Variety,Less than 1hr,Maybe,4-5 Season Television Series
10/2/2024 20:59:40,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Tablet,Several times a week,Yes,4,Lack of Desired Shows/Movies,1-3hrs,Yes,4-5 Season Television Series
10/2/2024 21:13:43,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Occasionally,Yes,3,N/A,Less than 1hr,Yes,2 hours movie
10/2/2024 21:20:11,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Smart TV,Occasionally,No,3,High Subscription Cost,1-3hrs,Yes,2 hours movie
10/2/2024 21:26:58,25-34,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,Netflix,Smart TV,Occasionally,Yes,4,High Subscription Cost,Less than 1hr,Maybe,4-5 Season Television Series
10/3/2024 1:20:23,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Amazon Prime Video,Smart TV,Occasionally,Yes,4,Preference for Other Streaming Platforms,Less than 1hr,Maybe,2 hours movie
10/4/2024 13:05:46,18-24,Female,Theatre Hall,Drama,Netflix,Laptop/PC,Once a week,Yes,4,N/A,Less than 1hr,Maybe,2 hours movie
10/4/2024 13:20:21,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Disney+,Tablet,Occasionally,No,1,Lack of Desired Shows/Movies,Less than 1hr,Maybe,2 hours movie
10/7/2024 22:42:57,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,5,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
10/8/2024 19:57:01,25-34,Male,Theatre Hall,Comedy,Amazon Prime Video,Smart TV,Several times a week,No,3,Limited Content Variety,1-3hrs,Yes,2 hours movie
10/10/2024 11:41:00,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Amazon Prime Video,Smart TV,Once a week,Yes,4,High Subscription Cost,Less than 1hr,Yes,2 hours movie
10/12/2024 19:55:45,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Amazon Prime Video,Laptop/PC,Occasionally,No,3,High Subscription Cost,1-3hrs,Yes,2 hours movie
11/2/2024 23:13:41,25-34,Male,Theatre Hall,Action,YouTube,Laptop/PC,Daily,Yes,3,Lack of Desired Shows/Movies,More than 3hrs,Maybe,2 hours movie
11/2/2024 23:28:20,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,YouTube,Laptop/PC,Occasionally,Yes,4,High Subscription Cost,More than 3hrs,Maybe,2 hours movie
11/3/2024 1:03:04,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,YouTube,Smart TV,Several times a week,No,3,Lack of Desired Shows/Movies,1-3hrs,Yes,2 hours movie
11/3/2024 3:07:48,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,HBO Max,Laptop/PC,Several times a week,Yes,4,Preference for Other Streaming Platforms,1-3hrs,Maybe,4-5 Season Television Series
11/3/2024 20:50:30,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,Hulu,Smart TV,Several times a week,Yes,4,Preference for Other Streaming Platforms,1-3hrs,Yes,4-5 Season Television Series
11/3/2024 20:50:58,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Documentary,Hulu,Smartphone,Several times a week,Yes,4,Preference for Other Streaming Platforms,1-3hrs,Yes,2 hours movie
11/4/2024 9:17:34,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smartphone,Occasionally,Yes,4,N/A,1-3hrs,Maybe,4-5 Season Television Series
11/6/2024 17:48:42,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Daily,Yes,3,Limited Content Variety,Less than 1hr,Maybe,4-5 Season Television Series
11/12/2024 21:56:17,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,YouTube,Laptop/PC,Several times a week,No,3,High Subscription Cost,1-3hrs,Yes,2 hours movie
11/17/2024 12:31:55,18-24,Male,Theatre Hall,Comedy,Amazon Prime Video,Smart TV,Several times a week,No,1,Limited Content Variety,1-3hrs,Yes,2 hours movie
12/2/2024 0:51:56,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Smart TV,Occasionally,No,3,Limited Content Variety,1-3hrs,No,2 hours movie